Direct operations (ISIC Section),Direct operations (ISIC Division),Direct operations (ISIC Group/Class),ISIC level used for direct operations,Downstream tier 1 (ISIC Division/Group/Class),ISIC level used for downstream tier 1 link,Downstream tier 2 (ISIC Division/Group/Class),ISIC level used for downstream tier 2 link
Manufacturing,Manufacture of machinery and equipment n.e.c.,Manufacture of general-purpose machinery,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Other manufacturing,ISIC Division
Manufacturing,Manufacture of machinery and equipment n.e.c.,Manufacture of general-purpose machinery,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Other manufacturing,ISIC Division
Manufacturing,Manufacture of machinery and equipment n.e.c.,Manufacture of general-purpose machinery,ISIC Group,Other manufacturing,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Manufacture of machinery and equipment n.e.c.,Manufacture of general-purpose machinery,ISIC Group,Other manufacturing,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Manufacture of machinery and equipment n.e.c.,Manufacture of general-purpose machinery,ISIC Group,Other manufacturing,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of irradiation, electromedical and electrotherapeutic equipment",ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of irradiation, electromedical and electrotherapeutic equipment",ISIC Group,Repair and installation of machinery and equipment,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of irradiation, electromedical and electrotherapeutic equipment",ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Other manufacturing,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of irradiation, electromedical and electrotherapeutic equipment",ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of irradiation, electromedical and electrotherapeutic equipment",ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of irradiation, electromedical and electrotherapeutic equipment",ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Other manufacturing,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of irradiation, electromedical and electrotherapeutic equipment",ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of irradiation, electromedical and electrotherapeutic equipment",ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of irradiation, electromedical and electrotherapeutic equipment",ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Other manufacturing,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of irradiation, electromedical and electrotherapeutic equipment",ISIC Group,Other manufacturing,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of irradiation, electromedical and electrotherapeutic equipment",ISIC Group,Other manufacturing,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of irradiation, electromedical and electrotherapeutic equipment",ISIC Group,Other manufacturing,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of magnetic and optical media,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of magnetic and optical media,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of magnetic and optical media,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Other manufacturing,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of magnetic and optical media,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of magnetic and optical media,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of magnetic and optical media,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Other manufacturing,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of magnetic and optical media,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of magnetic and optical media,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of magnetic and optical media,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Other manufacturing,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of magnetic and optical media,ISIC Group,Other manufacturing,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of magnetic and optical media,ISIC Group,Other manufacturing,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of magnetic and optical media,ISIC Group,Other manufacturing,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of measuring, testing, navigating and control equipment; watches and clocks",ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of measuring, testing, navigating and control equipment; watches and clocks",ISIC Group,Repair and installation of machinery and equipment,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of measuring, testing, navigating and control equipment; watches and clocks",ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Other manufacturing,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of measuring, testing, navigating and control equipment; watches and clocks",ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of measuring, testing, navigating and control equipment; watches and clocks",ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of measuring, testing, navigating and control equipment; watches and clocks",ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Other manufacturing,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of measuring, testing, navigating and control equipment; watches and clocks",ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of measuring, testing, navigating and control equipment; watches and clocks",ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of measuring, testing, navigating and control equipment; watches and clocks",ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Other manufacturing,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of measuring, testing, navigating and control equipment; watches and clocks",ISIC Group,Other manufacturing,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of measuring, testing, navigating and control equipment; watches and clocks",ISIC Group,Other manufacturing,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of measuring, testing, navigating and control equipment; watches and clocks",ISIC Group,Other manufacturing,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,Other manufacturing,Manufacture of medical and dental instruments and supplies,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Other manufacturing,Manufacture of medical and dental instruments and supplies,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,Other manufacturing,Manufacture of medical and dental instruments and supplies,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Other manufacturing,ISIC Division
Manufacturing,Other manufacturing,Manufacture of medical and dental instruments and supplies,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Other manufacturing,Manufacture of medical and dental instruments and supplies,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,Other manufacturing,Manufacture of medical and dental instruments and supplies,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Other manufacturing,ISIC Division
Manufacturing,Other manufacturing,Manufacture of medical and dental instruments and supplies,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Other manufacturing,Manufacture of medical and dental instruments and supplies,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Other manufacturing,Manufacture of medical and dental instruments and supplies,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Other manufacturing,ISIC Division
Manufacturing,Other manufacturing,Manufacture of medical and dental instruments and supplies,ISIC Group,Other manufacturing,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Other manufacturing,Manufacture of medical and dental instruments and supplies,ISIC Group,Other manufacturing,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Other manufacturing,Manufacture of medical and dental instruments and supplies,ISIC Group,Other manufacturing,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of optical instruments and photographic equipment,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of optical instruments and photographic equipment,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of optical instruments and photographic equipment,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Other manufacturing,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of optical instruments and photographic equipment,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of optical instruments and photographic equipment,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of optical instruments and photographic equipment,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Other manufacturing,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of optical instruments and photographic equipment,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of optical instruments and photographic equipment,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of optical instruments and photographic equipment,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Other manufacturing,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of optical instruments and photographic equipment,ISIC Group,Other manufacturing,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of optical instruments and photographic equipment,ISIC Group,Other manufacturing,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of optical instruments and photographic equipment,ISIC Group,Other manufacturing,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,Repair and installation of machinery and equipment,"Repair of fabricated metal products, machinery and equipment",ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Other manufacturing,ISIC Division
Manufacturing,Repair and installation of machinery and equipment,"Repair of fabricated metal products, machinery and equipment",ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Other manufacturing,ISIC Division
Manufacturing,Repair and installation of machinery and equipment,"Repair of fabricated metal products, machinery and equipment",ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Other manufacturing,ISIC Division
Manufacturing,Repair and installation of machinery and equipment,"Repair of fabricated metal products, machinery and equipment",ISIC Group,Other manufacturing,ISIC Division,Repair and installation of machinery and equipment,ISIC Division
Manufacturing,Repair and installation of machinery and equipment,"Repair of fabricated metal products, machinery and equipment",ISIC Group,Other manufacturing,ISIC Division,Manufacture of machinery and equipment n.e.c.,ISIC Division
Manufacturing,Repair and installation of machinery and equipment,"Repair of fabricated metal products, machinery and equipment",ISIC Group,Other manufacturing,ISIC Division,"Manufacture of computer, electronic and optical products",ISIC Division
Manufacturing,Repair and installation of machinery and equipment,Installation of industrial machinery and equipment,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Human health activities,ISIC Division
Manufacturing,Repair and installation of machinery and equipment,Installation of industrial machinery and equipment,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Residential care activities,ISIC Division
Manufacturing,Repair and installation of machinery and equipment,Installation of industrial machinery and equipment,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Social work activities without accommodation,ISIC Division
Manufacturing,Repair and installation of machinery and equipment,Installation of industrial machinery and equipment,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Veterinary activities,ISIC Division
Manufacturing,Repair and installation of machinery and equipment,Installation of industrial machinery and equipment,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Human health activities,ISIC Division
Manufacturing,Repair and installation of machinery and equipment,Installation of industrial machinery and equipment,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Residential care activities,ISIC Division
Manufacturing,Repair and installation of machinery and equipment,Installation of industrial machinery and equipment,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Social work activities without accommodation,ISIC Division
Manufacturing,Repair and installation of machinery and equipment,Installation of industrial machinery and equipment,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Veterinary activities,ISIC Division
Manufacturing,Repair and installation of machinery and equipment,Installation of industrial machinery and equipment,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Human health activities,ISIC Division
Manufacturing,Repair and installation of machinery and equipment,Installation of industrial machinery and equipment,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Residential care activities,ISIC Division
Manufacturing,Repair and installation of machinery and equipment,Installation of industrial machinery and equipment,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Social work activities without accommodation,ISIC Division
Manufacturing,Repair and installation of machinery and equipment,Installation of industrial machinery and equipment,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Veterinary activities,ISIC Division
Manufacturing,Repair and installation of machinery and equipment,Installation of industrial machinery and equipment,ISIC Group,Other manufacturing,ISIC Division,Human health activities,ISIC Division
Manufacturing,Repair and installation of machinery and equipment,Installation of industrial machinery and equipment,ISIC Group,Other manufacturing,ISIC Division,Residential care activities,ISIC Division
Manufacturing,Repair and installation of machinery and equipment,Installation of industrial machinery and equipment,ISIC Group,Other manufacturing,ISIC Division,Social work activities without accommodation,ISIC Division
Manufacturing,Repair and installation of machinery and equipment,Installation of industrial machinery and equipment,ISIC Group,Other manufacturing,ISIC Division,Veterinary activities,ISIC Division
Manufacturing,Manufacture of machinery and equipment n.e.c.,Manufacture of general-purpose machinery,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Human health activities,ISIC Division
Manufacturing,Manufacture of machinery and equipment n.e.c.,Manufacture of general-purpose machinery,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Residential care activities,ISIC Division
Manufacturing,Manufacture of machinery and equipment n.e.c.,Manufacture of general-purpose machinery,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Social work activities without accommodation,ISIC Division
Manufacturing,Manufacture of machinery and equipment n.e.c.,Manufacture of general-purpose machinery,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Veterinary activities,ISIC Division
Manufacturing,Manufacture of machinery and equipment n.e.c.,Manufacture of general-purpose machinery,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Human health activities,ISIC Division
Manufacturing,Manufacture of machinery and equipment n.e.c.,Manufacture of general-purpose machinery,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Residential care activities,ISIC Division
Manufacturing,Manufacture of machinery and equipment n.e.c.,Manufacture of general-purpose machinery,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Social work activities without accommodation,ISIC Division
Manufacturing,Manufacture of machinery and equipment n.e.c.,Manufacture of general-purpose machinery,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Veterinary activities,ISIC Division
Manufacturing,Manufacture of machinery and equipment n.e.c.,Manufacture of general-purpose machinery,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Human health activities,ISIC Division
Manufacturing,Manufacture of machinery and equipment n.e.c.,Manufacture of general-purpose machinery,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Residential care activities,ISIC Division
Manufacturing,Manufacture of machinery and equipment n.e.c.,Manufacture of general-purpose machinery,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Social work activities without accommodation,ISIC Division
Manufacturing,Manufacture of machinery and equipment n.e.c.,Manufacture of general-purpose machinery,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Veterinary activities,ISIC Division
Manufacturing,Manufacture of machinery and equipment n.e.c.,Manufacture of general-purpose machinery,ISIC Group,Other manufacturing,ISIC Division,Human health activities,ISIC Division
Manufacturing,Manufacture of machinery and equipment n.e.c.,Manufacture of general-purpose machinery,ISIC Group,Other manufacturing,ISIC Division,Residential care activities,ISIC Division
Manufacturing,Manufacture of machinery and equipment n.e.c.,Manufacture of general-purpose machinery,ISIC Group,Other manufacturing,ISIC Division,Social work activities without accommodation,ISIC Division
Manufacturing,Manufacture of machinery and equipment n.e.c.,Manufacture of general-purpose machinery,ISIC Group,Other manufacturing,ISIC Division,Veterinary activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of irradiation, electromedical and electrotherapeutic equipment",ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Human health activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of irradiation, electromedical and electrotherapeutic equipment",ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Residential care activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of irradiation, electromedical and electrotherapeutic equipment",ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Social work activities without accommodation,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of irradiation, electromedical and electrotherapeutic equipment",ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Veterinary activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of irradiation, electromedical and electrotherapeutic equipment",ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Human health activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of irradiation, electromedical and electrotherapeutic equipment",ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Residential care activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of irradiation, electromedical and electrotherapeutic equipment",ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Social work activities without accommodation,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of irradiation, electromedical and electrotherapeutic equipment",ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Veterinary activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of irradiation, electromedical and electrotherapeutic equipment",ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Human health activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of irradiation, electromedical and electrotherapeutic equipment",ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Residential care activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of irradiation, electromedical and electrotherapeutic equipment",ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Social work activities without accommodation,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of irradiation, electromedical and electrotherapeutic equipment",ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Veterinary activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of irradiation, electromedical and electrotherapeutic equipment",ISIC Group,Other manufacturing,ISIC Division,Human health activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of irradiation, electromedical and electrotherapeutic equipment",ISIC Group,Other manufacturing,ISIC Division,Residential care activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of irradiation, electromedical and electrotherapeutic equipment",ISIC Group,Other manufacturing,ISIC Division,Social work activities without accommodation,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of irradiation, electromedical and electrotherapeutic equipment",ISIC Group,Other manufacturing,ISIC Division,Veterinary activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of magnetic and optical media,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Human health activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of magnetic and optical media,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Residential care activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of magnetic and optical media,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Social work activities without accommodation,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of magnetic and optical media,ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Veterinary activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of magnetic and optical media,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Human health activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of magnetic and optical media,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Residential care activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of magnetic and optical media,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Social work activities without accommodation,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of magnetic and optical media,ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Veterinary activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of magnetic and optical media,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Human health activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of magnetic and optical media,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Residential care activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of magnetic and optical media,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Social work activities without accommodation,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of magnetic and optical media,ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Veterinary activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of magnetic and optical media,ISIC Group,Other manufacturing,ISIC Division,Human health activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of magnetic and optical media,ISIC Group,Other manufacturing,ISIC Division,Residential care activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of magnetic and optical media,ISIC Group,Other manufacturing,ISIC Division,Social work activities without accommodation,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products",Manufacture of magnetic and optical media,ISIC Group,Other manufacturing,ISIC Division,Veterinary activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of measuring, testing, navigating and control equipment; watches and clocks",ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Human health activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of measuring, testing, navigating and control equipment; watches and clocks",ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Residential care activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of measuring, testing, navigating and control equipment; watches and clocks",ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Social work activities without accommodation,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of measuring, testing, navigating and control equipment; watches and clocks",ISIC Group,Repair and installation of machinery and equipment,ISIC Division,Veterinary activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of measuring, testing, navigating and control equipment; watches and clocks",ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Human health activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of measuring, testing, navigating and control equipment; watches and clocks",ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Residential care activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of measuring, testing, navigating and control equipment; watches and clocks",ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Social work activities without accommodation,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of measuring, testing, navigating and control equipment; watches and clocks",ISIC Group,Manufacture of machinery and equipment n.e.c.,ISIC Division,Veterinary activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of measuring, testing, navigating and control equipment; watches and clocks",ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Human health activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of measuring, testing, navigating and control equipment; watches and clocks",ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Residential care activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of measuring, testing, navigating and control equipment; watches and clocks",ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Social work activities without accommodation,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of measuring, testing, navigating and control equipment; watches and clocks",ISIC Group,"Manufacture of computer, electronic and optical products",ISIC Division,Veterinary activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of measuring, testing, navigating and control equipment; watches and clocks",ISIC Group,Other manufacturing,ISIC Division,Human health activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of measuring, testing, navigating and control equipment; watches and clocks",ISIC Group,Other manufacturing,ISIC Division,Residential care activities,ISIC Division
Manufacturing,"Manufacture of computer, electronic and optical products","Manufacture of measuring, testing, navigating and control equipment; watches and clocks",ISIC Group,Other manufacturing,ISIC Division,Social work activities without accommodation,ISIC Division
